user_id,subgroup
5f1dc5a3afdc0537b5de8979,1 10 8 6 22
5f432175a32a53813a24e1a5,21 9 35 2 17
5a93a2b844a1e4001eee7a26,3 42 52 30 38
617ec17d1a87ca000710ce8f,71 5 2 77 12
614c3233e64756000603277d,4 39 8 49 21
617ec606b2319400078213a6,5 71 33 20 12
617e4e997340280006cc7c42,5 71 7 83 51
5e7609ff9c4b140023a682de,21 57 85 35 17
617ec3341a87ca000710d12f,5 3 71 21 42
5f76c59b49fac44216498699,43 68 7 9 25
617ed3125833170007feaf2d,5 71 3 83 42
617ed802b231940007823531,5 71 3 6 8
617ed902b231940007823606,5 71 3 21 83
61287daf560d810006958251,5 71 3 42 28
617eeb2380117b00079916e8,8 47 2 28 34
617d9b65b23194000780bfac,22 10 33 9 86
6173a7c5231858000643b26f,22 10 5 6 86
61796267b2319400077af493,5 71 21 33 20
5eee74c1eb246da0e50471ab,5 71 25 67 33
617f173e57d2ce0006c70668,9 85 57 17 54
5e7a0ed69c4b140023a848eb,22 10 5 6 86
617f182980117b0007995e45,5 71 3 39 41
617f1fe8b231940007828878,11 49 14 19 75
59b79476cd5792070055e82b,12 71 5 77 9
5d1e29010d5f3b0021dc4a41,35 2 21 9 13
5ab12613a356e3001e486f30,5 71 13 2 9
6027c54ce4e6038902cd6f78,2 77 12 71 5
5b5c44148011d1001e33e86d,3 5 49 21 42
617f3a3cb23194000782b00a,11 21 14 2 8
5915c4332fa2a607008bdc2b,2 5 71 9 77
5dac17e09b475f0021c7fa86,11 14 19 21 69
61700b7fe38aa7000780dd97,57 2 54 35 85
61720c8d5764e90006ed78b6,5 71 3 33 6
5a5342ac5518aa001e320dd7,5 71 21 2 3
60f38d0440316c0006a97d14,7 6 56 43 8
5f4da0a6df4a83f7dbd97fc0,5 71 3 21 77
5678090950562140005e6891,3 42 5 39 49
617f4988b23194000782c4d5,2 35 21 9 17
617f4872b23194000782c421,5 71 83 51 46
617f4ca4b23194000782ccae,9 13 54 68 35
617f4bf108fc0300066bcc1e,19 15 11 22 24
5c8660871a21560020ec7086,2 35 9 54 57
573c92c5fad4ef0a006babb5,43 7 5 71 68
617f519608fc0300066bd9d0,24 19 15 11 16
615a9dceabe3050007f8199b,5 71 2 49 12
5f16eb67cad0d03720ec1981,8 6 39 47 3
60ff49d4821982000654ab15,5 71 3 6 7
6159a340a2c84f0006db6307,2 77 12 71 5
5743436cfad4ef0a006bea28,2 57 54 85 9
5f15cc0092111749b05c8d87,33 9 20 5 21
5f1a3fbf60d94a09934ed008,5 71 3 33 39
5df8601960f8440021cb4f01,85 17 57 21 44
6035c9d395a296627eb84073,18 69 79 37 83
617f612ef4c68c00064083f6,3 5 42 49 52
617f5e6948279000067f7846,19 15 11 14 22
61406b89ce23f10007a2b421,7 25 6 67 9
617c1a69304bcd0006d96845,20 33 21 29 49
5a55c5df5863ae001eccb86f,5 71 9 21 41
5d5ec526e90dec0021058eed,2 49 75 77 3
617f630348279000067f7c8b,5 71 3 33 83
617f64edb23194000782ec64,21 48 17 85 29
5c851cc39d98460020c367cc,5 71 10 22 8
5fc391b8236603f24685cd32,5 11 71 21 49
617f6d4de4d4a400072f5093,43 7 68 25 6
617f6eeb80117b000799e036,9 21 13 24 35
617f60a3f4c68c00064083cf,2 57 54 21 35
5cd3f9e94a8a090020f21209,24 16 70 91 11
617f73bb80117b000799e8f2,7 43 68 38 30
616545600aa40700061b0f40,5 71 21 79 39
617f7301b23194000782ff78,5 71 3 39 77
617f7505f4c68c0006409c31,5 71 3 6 25
617f730bb4ed3c000784a15a,2 21 35 57 9
5ab0a5bba356e3001e485c48,2 9 35 13 54
5b98be1aca498a001e904f08,3 42 52 38 30
6108b0d2ce9a530007c2d934,9 5 21 10 22
574fea46206cd60900c52c8c,43 7 68 41 46
617f7cc169a5ab0006aaf1ec,11 49 75 19 14
617f7e4669a5ab0006aaf4a5,5 71 1 39 8
574406aafad4ef0a006bf3a6,16 24 70 91 53
5f6b5eb149fac469ff3c1c03,22 10 6 62 53
617f80bcb4ed3c000784b4e3,68 7 43 25 6
617f4f7208fc0300066bd500,21 5 9 71 57
617f859cb23194000783261f,2 35 54 13 9
617f8351b2319400078321cb,17 85 2 35 67
5937c19522a4f20700df43ff,43 68 7 25 6
5a9ea9ff5d786f001e62a1d0,8 6 1 45 10
617f87aab2319400078329a5,5 71 3 33 21
617f8971b4ed3c000784c0d8,35 2 9 21 13
604f8cc97784550e59d9283f,11 49 19 75 15
615970dddf426a0007d1063a,24 16 22 49 53
6175fe07839b1100065b9348,11 19 15 49 14
5e299ba5e3832b002471bbfa,23 28 49 3 42
58c2d727e207b607008f5735,19 11 15 14 24
