user_id,subgroup
5c6e7a8d6d180f002084a746,7 38 34 39 33 3 67 5 73 53 22 50 51 41 44 54 36 6 61 40 4 26 25 8 83 20 66 71 35 37 57 23 58 65 85 12 77 29 1 72 62 68 15 59 63 69 64 93 24 76
5e11926d54511e0d1440d024,50 25 51 5 29 1 40 23 3 6 59 4 36 13 38 33 34 39 20 22 7 41 37 71 66 72 62 53 77 78 61 91 54 67 58 2 85 83 35 57 8 73 60 65 12 68 89 44 9 24
59a1bbeb3ba5a507005d94bf,50 51 5 25 29 1 66 72 71 59 77 78 15 7 41 37 83 53 35 57 3 6 23 24 14 2 85 62 61 91 39 4 8 40 12 60 73 54 81 58 65 90 9 46 19 36 55 16 42 32 43 33
5a11254d516eb50051f99473,8 50 25 51 5 59 29 1 35 40 23 3 6 73 66 72 53 62 7 41 57 16 71 37 83 49 32 33 85 4 61 44 2 67 68 58 60 65 12 77 54 28 38 34 39 22 36 78 81 19
56702e0f13ef621200899d90,5 3 36 40 50 51 23 6 25 20 4 73 22 19 56 53 7 67 89 38 39 61 72 29 66 1 86 12 78 14 33 57 30 28 24 90 26 77 44 59 69 70 52 46 42 32 43 58 60 10 11
5aa795b871c70c001e28f2a9,50 51 5 29 1 40 25 71 3 73 6 23 24 7 41 37 66 72 85 79 53 30 59 2 4 22 62 60 61 91 12 83 58 35 57 54 36 65 77 9 46 19 39 15 67 55 14 16 90 13
5dc9632b31ab600020684cb3,0 73 53 35 37 57 42 32 43 33 13 50 51 7 41 66 39 59 54 3 67 5 63 64 93 75 76 1 2 4 6 8 9 10 11 12 14 15 16 17 18 19 20 21 22 23 24 25 26 27
603a408fedddaa46e5e847c0,40 25 50 51 5 3 6 23 24 4 22 67 12 73 53 20 44 39 1 54 36 33 34 85 71 38 55 61 7 41 83 13 42 32 43 35 59 0 14 60 65 77 78 66 89 29 72 63 64 93
5b41c29cbc0cfe001ecd42a8,50 25 51 5 40 23 3 6 61 29 66 1 7 72 36 37 19 73 77 78 71 59 83 35 57 41 20 4 38 39 62 85 53 33 34 58 22 91 67 2 65 12 54 60 8 44 81 79 30 56
6118d79bc367dc00060594ef,65 37 59 51 71 66 83 35 57 85 12 77 29 1 78 50 72 62 81 53 7 41 19 61 91 3 5 73 56 8 39 25 87 67 4 60 2 58 40 42 32 33 30 36 10 11 54 6 22 26
