subgroup
32 35 34 49 36
32 35 34 49 36
32 35 34 49 50
32 35 34 49 36
32 35 34 49 36
32 35 34 49 36
32 35 34 49 36
32 35 34 49 3
32 35 34 49 36
32 35 34 49 36
32 35 34 49 3
32 35 34 49 36
32 35 34 49 3
32 35 34 49 36
32 35 34 49 3
32 35 34 49 3
32 35 34 49 3
32 35 34 49 36
32 35 34 49 3
32 35 34 49 36
32 35 34 49 3
32 35 34 49 36
32 35 34 49 36
32 35 34 49 3
32 35 34 49 3
32 35 34 49 36
32 35 34 49 36
32 35 34 49 3
32 35 34 49 3
32 35 34 49 3
32 35 34 49 3
32 35 34 49 36
32 35 34 49 3
32 35 34 49 3
32 35 34 49 3
32 35 34 49 50
32 35 34 49 36
32 35 34 49 36
32 35 34 49 3
32 35 34 49 36
32 35 34 49 3
32 35 34 49 3
32 35 34 49 36
32 35 34 49 3
32 35 34 49 3
32 35 34 49 36
32 35 34 49 3
32 35 34 49 36
32 35 34 49 3
32 35 34 49 36
32 35 34 49 36
32 35 34 49 36
32 35 34 49 3
32 35 34 49 36
32 35 34 49 36
32 35 34 49 3
32 35 34 49 36
32 35 34 49 36
32 35 34 49 3
32 35 34 49 36
32 35 34 49 36
32 35 34 49 3
32 35 34 49 36
32 35 34 49 3
32 35 34 49 3
32 35 34 49 36
32 35 34 49 3
32 35 34 49 3
32 35 34 49 3
32 35 34 49 36
32 35 34 49 3
32 35 34 49 36
32 35 34 49 36
32 35 34 49 3
32 35 34 49 3
32 35 34 49 3
32 35 34 49 3
32 35 34 49 3
32 35 34 49 3
32 35 34 49 36
32 35 34 49 3
32 35 34 49 36
32 35 34 49 36
32 35 34 49 3
32 35 34 49 3
32 35 34 49 3
32 35 34 49 3
32 35 34 49 3
32 35 34 49 3
32 35 34 49 36
32 35 34 49 3
32 35 34 49 36
32 35 34 49 36
32 35 34 49 36
32 35 34 49 36
32 35 34 49 36
32 35 34 49 36
32 35 34 49 36
32 35 34 49 3
32 3 49 34 50
3 32 49 4 50
32 35 34 50 49
45 47 44 87 46
23 45 27 21 25
32 3 49 4 35
45 47 44 17 25
45 44 47 46 87
23 27 83 90 21
32 3 34 50 35
32 3 34 49 35
32 3 35 49 34
32 3 49 34 50
44 47 45 46 87
32 3 49 35 34
32 34 3 49 35
45 47 44 17 19
32 3 34 35 50
23 27 21 83 90
32 3 35 49 50
45 47 44 17 46
23 13 21 90 15
32 34 50 35 49
3 32 49 50 4
45 47 44 17 25
32 37 36 35 56
32 34 50 3 49
44 47 45 46 20
32 3 4 49 5
45 47 25 17 21
0 58 34 35 3
45 47 44 17 25
32 4 34 49 3
23 21 27 61 45
45 47 44 17 25
45 47 44 46 17
32 35 34 4 49
45 47 44 17 25
45 44 47 88 17
45 47 44 17 25
45 47 44 17 25
44 45 47 46 87
45 44 47 46 17
23 27 13 21 11
45 47 44 17 25
4 36 50 34 33
34 58 60 50 65
45 47 21 44 19
32 3 34 49 50
45 44 47 46 87
44 45 47 17 87
23 21 89 13 83
20 26 91 47 41
45 47 44 17 25
20 51 67 31 14
34 58 35 60 0
32 3 35 36 49
